config,science,cost
000000000000000000000000000000000000000000000000100000000000,0.0144620975,250.88035225693343
000000000000000000000000000000000000000000000000000000000000,0.0,0.0
000000000000000000000000000000000000100000000000000000000000,0.0,250.8605824203334
000000000000000000000000100000000000000000000000000000000000,0.0,258.5627292295798
000000000000100000000000000000000000000000000000000000000000,0.0144620975,259.2800180585232
100000000000000000000000000000000000000000000000000000000000,0.0144620975,259.2800180585232
000000000000000000000000000000000000000000000000000000000001,0.057578128125,371.26603246717764
000000000000000000000000000000000000000000000001000000000000,0.057578128125,371.2135431246241
000000000000000000000000000000000001000000000000000000000000,0.054144065625,363.9592794270581
000000000000000000000001000000000000000000000000000000000000,0.054144065625,365.93543792172034
000000000001000000000000000000000000000000000000000000000000,0.061405200000000014,365.93543792172034
000000000000000000000000000000000000000000000000000000000010,0.018333980709375003,211.46865101052936
000000000000000000000000000000000000000000000010000000000000,0.0,211.37761473882716
000000000000000000000000000000000010000000000000000000000000,0.0,250.28327817491257
000000000000000000000010000000000000000000000000000000000000,0.0011366437500000002,253.7202468482624
000000000010000000000000000000000000000000000000000000000000,0.0005683218750000001,253.7202468482624
000000000011000000000000000000000000000000000000000000000000,0.061973521875000014,549.8461704409059
000000000011000000000000000000111100000000000000000000000000,0.06791420982353613,2211.7068504354997
000000111111000000000000000000000000000000000000000000000000,0.05039448126953848,2507.381378097345
000000000011000000111100000000000000000000000000000000000000,0.09733993259834382,2225.116472499385
000000000011000000000000000000000000000000111100000000000000,0.06766766012200544,2103.9360486720825
000000000011000000000000000000000000000000000000000000111100,0.11139587040287983,2104.2849588527906
000000000000000000000000000000111111000000000000000000000000,0.01836998992984468,2456.612738702631
000000000011000000000000000000000000000000000000000011000000,0.0856763315909681,2465.454580064437
000011000011000000000000000000000000000000000000000000000000,0.04042530880694628,2889.5493300983358
000000000011000011000000000000000000000000000000000000000000,0.07826216674944804,2547.075537270543
000000000011000000000000000011000000000000000000000000000000,0.08089128094890181,2525.840734182424
000000000011000000000000000000000000000011000000000000000000,0.0856763315909681,2464.906894995331
000000000000000000000000001100000000000000000000000000000000,0.00040445017516340363,1917.2593982300725
001100000000000000000000000000000000000000000000000000000000,0.0038512761483911703,1934.9529816091015
000000000000011000001000000000000110010100010010010000000000,0.036470345836696505,4423.4430173950395
